subscription_id,customer_id,plan_name,billing_cycle,monthly_price,seats,start_date,renewal_date,status
S0389,389,Enterprise,Annual,599,263,2024-02-26,2025-02-25,Active
S0390,390,Starter,Monthly,49,4,2024-07-25,2024-08-24,Active
S0391,391,Starter,Monthly,49,1,2025-01-28,2025-02-27,Active
S0392,392,Pro,Monthly,249,51,2025-09-13,2025-10-13,Active
S0393,393,Pro,Monthly,249,60,2026-03-31,2026-04-30,Active
S0394,394,Growth,Annual,99,5,2023-08-12,2024-08-11,Active
S0395,395,Starter,Annual,49,1,2026-05-03,2027-05-03,Active
S0396,396,Growth,Monthly,99,12,2024-02-10,2024-03-11,Active
S0397,397,Enterprise,Annual,599,208,2026-04-11,2027-04-11,Active
S0398,398,Growth,Monthly,99,6,2025-07-08,2025-08-07,Active
S0399,399,Growth,Annual,99,9,2025-06-27,2026-06-27,Active
S0400,400,Growth,Monthly,99,17,2024-05-22,2024-06-21,Active
S0401,401,Starter,Monthly,49,2,2025-09-25,2025-10-25,Active
S0402,402,Starter,Annual,49,1,2024-08-14,2025-08-14,Active
S0403,403,Starter,Monthly,49,5,2024-10-04,2024-11-03,Active
S0404,404,Pro,Monthly,249,46,2026-05-01,2026-05-31,Active
S0405,405,Growth,Annual,99,9,2025-05-26,2026-05-26,Active
S0406,406,Pro,Monthly,249,62,2025-03-09,2025-04-08,Active
S0407,407,Pro,Annual,249,46,2025-08-28,2026-08-28,Active
S0408,408,Enterprise,Monthly,599,107,2023-11-23,2023-12-23,Active
S0409,409,Growth,Monthly,99,11,2024-04-23,2024-05-23,Active
S0410,410,Growth,Monthly,99,20,2024-10-19,2024-11-18,Active
S0411,411,Pro,Annual,249,20,2024-04-01,2025-04-01,Active
S0412,412,Pro,Monthly,249,29,2025-01-15,2025-02-14,Active
S0413,413,Pro,Monthly,249,61,2023-10-15,2023-11-14,Active
S0414,414,Growth,Annual,99,19,2025-02-01,2026-02-01,Active
S0415,415,Pro,Monthly,249,71,2024-02-24,2024-03-25,Active
S0416,416,Starter,Monthly,49,1,2024-07-18,2024-08-17,Active
S0417,417,Starter,Monthly,49,3,2026-02-11,2026-03-13,Active
S0418,418,Enterprise,Annual,599,167,2025-02-14,2026-02-14,Active
S0419,419,Starter,Annual,49,4,2025-10-17,2026-10-17,Active
S0420,420,Growth,Annual,99,10,2024-08-08,2025-08-08,Active
S0421,421,Pro,Monthly,249,46,2025-08-31,2025-09-30,Active
S0422,422,Growth,Annual,99,17,2024-08-25,2025-08-25,Active
S0423,423,Growth,Monthly,99,20,2025-08-19,2025-09-18,Active
S0424,424,Growth,Monthly,99,15,2025-06-19,2025-07-19,Active
S0425,425,Enterprise,Monthly,599,249,2023-12-01,2023-12-31,Active
S0426,426,Pro,Annual,249,29,2023-10-26,2024-10-25,Active
S0427,427,Pro,Monthly,249,52,2026-07-09,2026-08-08,Active
S0428,428,Growth,Annual,99,7,2024-05-25,2025-05-25,Active
S0429,429,Starter,Annual,49,3,2023-08-27,2024-08-26,Active
S0430,430,Growth,Annual,99,12,2025-11-20,2026-11-20,Active
S0431,431,Growth,Annual,99,20,2023-10-28,2024-10-27,Active
S0432,432,Starter,Annual,49,1,2025-07-30,2026-07-30,Active
S0433,433,Starter,Monthly,49,1,2024-01-28,2024-02-27,Active
S0434,434,Growth,Annual,99,16,2026-06-08,2027-06-08,Active
S0435,435,Pro,Annual,249,65,2026-04-06,2027-04-06,Active
S0436,436,Growth,Annual,99,8,2023-10-12,2024-10-11,Active
S0437,437,Starter,Annual,49,3,2024-03-29,2025-03-29,Active
S0438,438,Growth,Monthly,99,10,2024-07-02,2024-08-01,Active
S0439,439,Pro,Annual,249,59,2024-10-01,2025-10-01,Active
S0440,440,Starter,Annual,49,2,2025-11-19,2026-11-19,Active
S0441,441,Starter,Annual,49,1,2025-10-23,2026-10-23,Active
S0442,442,Pro,Monthly,249,62,2026-01-22,2026-02-21,Active
S0443,443,Enterprise,Monthly,599,268,2026-02-12,2026-03-14,Active
S0444,444,Starter,Annual,49,5,2023-08-31,2024-08-30,Active
S0445,445,Pro,Monthly,249,66,2025-12-29,2026-01-28,Active
S0446,446,Starter,Annual,49,5,2025-04-25,2026-04-25,Active
S0447,447,Growth,Monthly,99,17,2024-10-09,2024-11-08,Active
S0448,448,Growth,Monthly,99,18,2026-06-16,2026-07-16,Active
S0449,449,Enterprise,Annual,599,268,2023-10-19,2024-10-18,Active
S0450,450,Enterprise,Monthly,599,262,2025-07-08,2025-08-07,Active
S0451,451,Starter,Annual,49,2,2024-11-14,2025-11-14,Active
S0452,452,Pro,Annual,249,55,2025-03-28,2026-03-28,Active
S0453,453,Growth,Annual,99,14,2025-12-06,2026-12-06,Active
S0454,454,Growth,Monthly,99,8,2024-01-24,2024-02-23,Active
S0455,455,Starter,Monthly,49,2,2023-10-04,2023-11-03,Active
S0456,456,Starter,Annual,49,3,2025-04-27,2026-04-27,Active
S0457,457,Pro,Annual,249,42,2024-12-07,2025-12-07,Active
S0458,458,Growth,Monthly,99,17,2025-09-24,2025-10-24,Active
S0459,459,Pro,Annual,249,44,2023-08-23,2024-08-22,Active
S0460,460,Enterprise,Annual,599,270,2025-06-27,2026-06-27,Active
S0461,461,Starter,Annual,49,2,2023-10-01,2024-09-30,Active
S0462,462,Growth,Monthly,99,14,2026-04-29,2026-05-29,Active
S0463,463,Enterprise,Monthly,599,211,2025-05-17,2025-06-16,Active
S0464,464,Starter,Monthly,49,4,2025-02-05,2025-03-07,Active
S0465,465,Starter,Annual,49,1,2025-12-19,2026-12-19,Active
S0466,466,Enterprise,Monthly,599,93,2025-09-08,2025-10-08,Active
S0467,467,Pro,Annual,249,24,2026-03-12,2027-03-12,Active
S0468,468,Pro,Monthly,249,70,2025-02-16,2025-03-18,Active
S0469,469,Starter,Annual,49,1,2024-02-27,2025-02-26,Active
S0470,470,Pro,Annual,249,33,2025-09-01,2026-09-01,Active
S0471,471,Growth,Annual,99,5,2024-12-16,2025-12-16,Active
S0472,472,Starter,Monthly,49,5,2025-09-25,2025-10-25,Active
S0473,473,Enterprise,Annual,599,218,2024-11-23,2025-11-23,Active
S0474,474,Pro,Monthly,249,52,2024-10-24,2024-11-23,Active
S0475,475,Growth,Annual,99,14,2025-12-08,2026-12-08,Active
S0476,476,Starter,Monthly,49,1,2024-12-13,2025-01-12,Active
S0477,477,Growth,Monthly,99,11,2026-06-20,2026-07-20,Active
S0478,478,Growth,Monthly,99,18,2026-01-01,2026-01-31,Active
S0479,479,Enterprise,Monthly,599,164,2025-10-09,2025-11-08,Active
S0480,480,Starter,Monthly,49,1,2026-06-09,2026-07-09,Active
S0481,481,Growth,Monthly,99,18,2024-01-04,2024-02-03,Active
S0482,482,Growth,Annual,99,5,2025-04-28,2026-04-28,Active
S0483,483,Starter,Monthly,49,5,2025-04-15,2025-05-15,Active
S0484,484,Growth,Monthly,99,8,2023-10-22,2023-11-21,Active
S0485,485,Pro,Monthly,249,44,2026-05-11,2026-06-10,Active
S0486,486,Pro,Monthly,249,54,2024-04-12,2024-05-12,Active
S0487,487,Starter,Annual,49,5,2025-01-18,2026-01-18,Active
S0488,488,Starter,Annual,49,1,2026-06-29,2027-06-29,Active
S0489,489,Starter,Annual,49,5,2024-08-03,2025-08-03,Active
S0490,490,Pro,Annual,249,77,2024-10-22,2025-10-22,Active
S0491,491,Enterprise,Monthly,599,237,2025-08-15,2025-09-14,Active
S0492,492,Pro,Monthly,249,62,2024-09-14,2024-10-14,Active
S0493,493,Growth,Monthly,99,19,2025-02-26,2025-03-28,Active
S0494,494,Starter,Monthly,49,3,2024-03-01,2024-03-31,Active
S0495,495,Growth,Annual,99,9,2023-11-17,2024-11-16,Active
S0496,496,Starter,Annual,49,5,2025-07-31,2026-07-31,Active
S0497,497,Starter,Annual,49,3,2024-09-11,2025-09-11,Active
S0498,498,Starter,Annual,49,3,2026-01-14,2027-01-14,Active
S0499,499,Starter,Monthly,49,4,2025-10-19,2025-11-18,Active
S0500,500,Starter,Annual,49,4,2023-12-20,2024-12-19,Active
